accession	name	segment	date	host	country	abbreviation	virus	strain
AB081393	HO101A/EV71/Kanagawa/2000	N/A	N/A	Human	N/a	Japan	N/A	HO101A/EV71/Kanagawa/2000
AB168005	Fukuoka City03-159	N/A	N/A	Unknown	N/a	Japan	N/A	FukuokaCity03-159
AB213620	738-Yamagata-00	N/A	N/A	Unknown	N/a	Japan	Enterovirus type 71	738-Yamagata-00
AB213636	1268-Yamagata-03	N/A	N/A	Unknown	N/a	Japan	Enterovirus type 71	1268-Yamagata-03
AB213637	1469-Yamagata-03	N/A	N/A	Unknown	N/a	Japan	Enterovirus type 71	1469-Yamagata-03
AB433873	2317-Yamagata-06	N/A	N/A	Unknown	N/a	Japan	71	2317-Yamagata-06
AB524267	365	N/A	2000	Unknown	2000	Netherlands	N/A	365
AB524281	10724	N/A	1966	Unknown	1966	Netherlands	N/A	10724
AB524108	16762	N/A	1973	Unknown	1973	Netherlands	N/A	16762
AB524121	10061	N/A	1986	Unknown	1986	Netherlands	N/A	10061
AB524144	13857	N/A	1986	Unknown	1986	Netherlands	N/A	13857
AB524192	3501	N/A	1991	Unknown	1991	Netherlands	N/A	3501
AB524319	1911	N/A	2007	Unknown	2007	Netherlands	N/A	1911
AB524233	2325	N/A	2007	Unknown	2007	Netherlands	N/A	2325
AB524234	2410	N/A	2007	Unknown	2007	Netherlands	N/A	2410
AB524235	2458	N/A	2007	Unknown	2007	Netherlands	N/A	2458
AB575943	2531	N/A	2007	Unknown	2007	Netherlands	N/A	2531
AB524256	2795	N/A	2007	Unknown	2007	Netherlands	N/A	2795
AB675638	DY2010-23	N/A	2010-04-15	Human	2010-04-15	China	N/A	DY2010-23
AB675651	DY2011-151	N/A	2011-06-22	Human	2011-06-22	China	N/A	DY2011-151
AB679738	SC10-256	N/A	2010-04-30	Human	2010-04-30	China	N/A	SC10-256
AB679739	SC10-259	N/A	2010-04-28	Human	2010-04-28	China	N/A	SC10-259
AB688700	EV71/22-0111/osaka.JPN/2010	N/A	2010	Human	2010	Japan	N/A	EV71/22-0111/osaka.JPN/2010
AB725676	206-YN-2008	N/A	2008	Human	2008	China	71	206-YN-2008
AB740168	183-YN-2010AFP	N/A	2010-07-14	Human	2010-07-14	China	N/A	183-YN-2010AFP
AB902842	EV71/Okinawa/207/2012	N/A	2012-05	Human	2012-05	Japan	N/A	EV71/Okinawa/207/2012
AB908262	EV71/25-1034/osaka.JPN/2013	N/A	2014-01-08	Human	2014-01-08	Japan	N/A	EV71/25-1034/osaka.JPN/2013
AB936437	971-Yamagata-2000	N/A	N/A	Unknown	N/a	Japan	N/A	971-Yamagata-2000
AB936463	1669-Yamagata-2003	N/A	N/A	Unknown	N/a	Japan	N/A	1669-Yamagata-2003
AB936496	1894-Yamagata-2009	N/A	N/A	Unknown	N/a	Japan	N/A	1894-Yamagata-2009
AB936497	1930-Yamagata-2009	N/A	N/A	Unknown	N/a	Japan	N/A	1930-Yamagata-2009
AB936504	2322-Yamagata-2009	N/A	N/A	Unknown	N/a	Japan	N/A	2322-Yamagata-2009
AB936510	1039-Yamagata-2010	N/A	N/A	Unknown	N/a	Japan	N/A	1039-Yamagata-2010
AB936515	1108-Yamagata-2010	N/A	N/A	Unknown	N/a	Japan	N/A	1108-Yamagata-2010
AB936517	1305-Yamagata-2010	N/A	N/A	Unknown	N/a	Japan	N/A	1305-Yamagata-2010
AB936519	1362-Yamagata-2010	N/A	N/A	Unknown	N/a	Japan	N/A	1362-Yamagata-2010
AB936522	1801-Yamagata-2010	N/A	N/A	Unknown	N/a	Japan	N/A	1801-Yamagata-2010
AB936526	1647-Yamagata-2012	N/A	N/A	Unknown	N/a	Japan	N/A	1647-Yamagata-2012
AB936533	1808-Yamagata-2012	N/A	N/A	Unknown	N/a	Japan	N/A	1808-Yamagata-2012
AB936538	1878-Yamagata-2012	N/A	N/A	Unknown	N/a	Japan	N/A	1878-Yamagata-2012
LC626878	1888-Yamagata-2012	N/A	2012	Unknown	2012	Japan	N/A	1888-Yamagata-2012
AB936549	1977-Yamagata-2012	N/A	N/A	Unknown	N/a	Japan	N/A	1977-Yamagata-2012
AB936556	799-Yamagagta-2013	N/A	N/A	Unknown	N/a	Japan	N/A	799-Yamagagta-2013
AB936560	933-Yamagata-2013	N/A	N/A	Unknown	N/a	Japan	N/A	933-Yamagata-2013
AF117622	TW/1499/98	N/A	N/A	Unknown	N/a	Taiwan	N/A	TW/1499/98
AF117624	TW/1567/98	N/A	N/A	Unknown	N/a	Taiwan	N/A	TW/1567/98
AF117630	TW/1929/98	N/A	N/A	Unknown	N/a	Taiwan	N/A	TW/1929/98
AF135916	2301-MAA-97 21C8	N/A	N/A	Unknown	N/a	N/A	N/A	2301-MAA-9721C8
AF135942	2355-OK-97	N/A	N/A	Unknown	N/a	N/A	N/A	2355-OK-97
AF135943	2381-MA-97	N/A	N/A	Unknown	N/a	N/A	N/A	2381-MA-97
AF135959	9873-NM-89	N/A	N/A	Unknown	N/a	N/A	N/A	9873-NM-89
AF116805	TW/253/86	N/A	N/A	Unknown	N/a	Taiwan	N/A	TW/253/86
AF286498	2849-TAI-98	N/A	N/A	Unknown	N/a	N/A	N/A	2849-TAI-98
AF286503	2862-TAI-98	N/A	N/A	Unknown	N/a	N/A	N/A	2862-TAI-98
AF376065	SB1647/SAR/00	N/A	N/A	Unknown	N/a	N/A	N/A	SB1647/SAR/00
AF376076	MY755/3/SAR/97	N/A	N/A	Unknown	N/a	N/A	N/A	MY755/3/SAR/97
AF376093	16F/AUS/6/99	N/A	N/A	Unknown	N/a	N/A	N/A	16F/AUS/6/99
AF376094	17M/AUS/5/99	N/A	N/A	Unknown	N/a	N/A	N/A	17M/AUS/5/99
AF376100	25M/AUS/2/99	N/A	N/A	Unknown	N/a	N/A	N/A	25M/AUS/2/99
AF376103	2M/AUS/3/99	N/A	N/A	Unknown	N/a	N/A	N/A	2M/AUS/3/99
AF376108	7F/AUS/6/99	N/A	N/A	Unknown	N/a	N/A	N/A	7F/AUS/6/99
AF376115	2386/SIN/01	N/A	N/A	Unknown	N/a	N/A	N/A	2386/SIN/01
AY055194	N4643-TW-98	N/A	N/A	Unknown	N/a	N/A	N/A	N4643-TW-98
AY055200	N5202-TW-98	N/A	N/A	Unknown	N/a	N/A	N/A	N5202-TW-98
AY055133	N6174-TW-98	N/A	N/A	Unknown	N/a	N/A	N/A	N6174-TW-98
AY055196	N5385-TW-98	N/A	N/A	Unknown	N/a	N/A	N/A	N5385-TW-98
AY055140	N5698-TW-98	N/A	N/A	Unknown	N/a	N/A	N/A	N5698-TW-98
AY055195	H0358-TW-98	N/A	N/A	Unknown	N/a	N/A	N/A	H0358-TW-98
AY055184	M0267-TW-00	N/A	N/A	Unknown	N/a	N/A	N/A	M0267-TW-00
AY207618	0807-MAA-00	N/A	N/A	Unknown	N/a	N/A	N/A	0807-MAA-00
AY207621	0937-MAA-00	N/A	N/A	Unknown	N/a	N/A	N/A	0937-MAA-00
AY207628	0467-MAA-00	N/A	N/A	Unknown	N/a	N/A	N/A	0467-MAA-00
AY258294	SB9869-SAR-03	N/A	N/A	Unknown	N/a	N/A	N/A	SB9869-SAR-03
AY722891	5409-SYD-86	N/A	N/A	Unknown	N/a	N/A	N/A	5409-SYD-86
AY895136	shzh02-62	N/A	N/A	Unknown	N/a	China	N/A	shzh02-62
AY940101	9902-SYD-01	N/A	N/A	Unknown	N/a	N/A	N/A	9902-SYD-01
DI448745	UNKNOWN-DI448745	N/A	N/A	Unknown	N/a	N/A	N/A	UNKNOWN-DI448745
AY794025	SB12736-SAR-03	N/A	N/A	Unknown	N/a	Malaysia	N/A	SB12736-SAR-03
DQ841956	E98046-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	E98046-TW
DQ841959	E98551-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	E98551-TW
DQ841986	AFP2001477-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	AFP2001477-TW
EU131718	S0584TW-04	N/A	N/A	Unknown	N/a	N/A	N/A	S0584TW-04
EU131722	N1614TW-04	N/A	N/A	Unknown	N/a	N/A	N/A	N1614TW-04
KC118542	26M/AUS/4/99	N/A	N/A	Unknown	N/a	Australia	N/A	26M/AUS/4/99
EU753363	518-01F/SD/CHN/07	N/A	2007-05-18	Human	2007-05-18	China	N/A	518-01F/SD/CHN/07
EU753391	522-19F/SD/CHN/07	N/A	2007-05-22	Human	2007-05-22	China	N/A	522-19F/SD/CHN/07
EU753417	TC23F/SD/CHN/07	N/A	2007-05-19	Human	2007-05-19	China	N/A	TC23F/SD/CHN/07
EU910868	0718F/NM/CHN/07	N/A	2007-06	Human	2007-06	China	C4	0718F/NM/CHN/07
FJ151493	THA-07-01865	N/A	2007	Human	2007	Thailand	N/A	THA-07-01865
FJ357343	N6500-TW98	N/A	1998	Human	1998	Taiwan	N/A	N6500-TW98
FJ357356	N0692-TW08	N/A	2008	Human	2008	Taiwan	N/A	N0692-TW08
FJ415458	N1059-TW00	N/A	2000	Human	2000	Taiwan	N/A	N1059-TW00
FJ461787	NUH0043/SIN/08	N/A	N/A	Unknown	N/a	Singapore	EV71	NUH0043/SIN/08
FJ598107	China/GD27/2008	N/A	2008-05	Human	2008-05	China	N/A	China/GD27/2008
FJ607334	1/SHENZHEN/08/China/HFMD/2008	N/A	2008-05	Human	2008-05	China	N/A	1/SHENZHEN/08/China/HFMD/2008
FJ607335	4/SHENZHEN/08/China/HFMD/2008	N/A	2008-05	Human	2008-05	China	N/A	4/SHENZHEN/08/China/HFMD/2008
FJ713137	Shanghai 036-2009	N/A	N/A	Unknown	N/a	N/A	N/A	Shanghai036-2009
FJ765417	549-Anhui-08	N/A	2008	Human	2008	China	N/A	549-Anhui-08
FJ765427	kunming41-08	N/A	2008	Human	2008	China	N/A	kunming41-08
FJ765432	WH-3-08	N/A	2008	Human	2008	China	N/A	WH-3-08
FJ765434	WH-8-08	N/A	2008	Human	2008	China	N/A	WH-8-08
FJ846664	Siriraj08/TH/01	N/A	2001	Human	2001	Thailand	N/A	Siriraj08/TH/01
FJ846669	Siriraj37/TH/01	N/A	2001	Human	2001	Thailand	N/A	Siriraj37/TH/01
FJ846672	Siriraj45/TH/01	N/A	2001	Human	2001	Thailand	N/A	Siriraj45/TH/01
FM201337	EV71/BRU/2006/34701	N/A	N/A	Human	N/a	Brunei	N/A	EV71/BRU/2006/34701
FN298934	HUN-5702-2004	N/A	2004	Unknown	2004	Hungary	EV71	HUN-5702-2004
FN598746	ANG100 FRA06	N/A	2006-02-01	Unknown	2006-02-01	France	N/A	ANG100FRA06
HG934225	LYO02346_FRA06	N/A	2006	Human	2006	France	N/A	LYO02346_FRA06
HG934234	BRE324_FRA07	N/A	2007	Human	2007	France	N/A	BRE324_FRA07
HG934235	NAN74_FRA07	N/A	2007	Human	2007	France	N/A	NAN74_FRA07
FN649243	CHE516_GER97	N/A	1997	Unknown	1997	Germany	N/A	CHE516_GER97
FN665349	HAN540_GER00	N/A	2000	Unknown	2000	Germany	Enterovirus 71	HAN540_GER00
FN665350	ULM705_GER00	N/A	2000	Unknown	2000	Germany	Enterovirus 71	ULM705_GER00
HG934227	ULM63_GER07	N/A	2007	Human	2007	Germany	N/A	ULM63_GER07
HG934240	STU563062_GER07	N/A	2007	Human	2007	Germany	N/A	STU563062_GER07
FN598751	GRE580_FRA06	N/A	2006-05-11	Human	2006-05-11	France	N/A	GRE580_FRA06
FN598755	LYO10531_FRA06	N/A	2006-03-09	Unknown	2006-03-09	France	N/A	LYO10531_FRA06
FN598764	CF139030_FRA07	N/A	2007-05-18	Human	2007-05-18	France	N/A	CF139030_FRA07
FN675344	41-AUT2003	N/A	2003	Unknown	2003	Austria	N/A	41-AUT2003
GQ150750	NHRI-152-TW	N/A	2008-04-30	Human	2008-04-30	Taiwan	N/A	NHRI-152-TW
GQ231928	TW/2639/04	N/A	N/A	Human	N/a	Taiwan	N/A	TW/2639/04
FJ969164	TW/96022/08	N/A	N/A	Human	N/a	Taiwan	N/A	TW/96022/08
GQ253394	H419F/SD/CHN/2008/EV71	N/A	2008	Human	2008	China	N/A	H419F/SD/CHN/2008/EV71
GQ487668	ZH-JC220/GD/CHN/09	N/A	2009-05	Human	2009-05	China	C4b	ZH-JC220/GD/CHN/09
GQ487670	ZH-JC215/GD/CHN/09	N/A	2009-05	Human	2009-05	China	C4b	ZH-JC215/GD/CHN/09
GQ487671	ZH-ETC222/GD/CHN/09	N/A	2009-05	Human	2009-05	China	C4b	ZH-ETC222/GD/CHN/09
GQ487680	ZH-ETC287/GD/CHN/09	N/A	2009-05	Human	2009-05	China	C4b	ZH-ETC287/GD/CHN/09
GQ891758	UNKNOWN-GQ891758	N/A	2008-05-15	Human	2008-05-15	China	N/A	UNKNOWN-GQ891758
GQ994989	Chongqing1-09-China	N/A	2009-04	Human	2009-04	China	N/A	Chongqing1-09-China
GU176408	Nanjing08-1	N/A	2009-10-18	Unknown	2009-10-18	China	N/A	Nanjing08-1
GU198374	FY08-C30-P4	N/A	2008-05	Human	2008-05	China	N/A	FY08-C30-P4
GU353090	Lianyungang/JS24/CHN09	N/A	2009-07	Human	2009-07	China	N/A	Lianyungang/JS24/CHN09
GU353099	Zhenjiang/JS44/CHN09	N/A	2009-07	Human	2009-07	China	N/A	Zhenjiang/JS44/CHN09
GU353104	Zhenjiang/JS57/CHN09	N/A	2009-08	Human	2009-08	China	N/A	Zhenjiang/JS57/CHN09
HE573011	CF166110_FRA10	N/A	2010-06	Unknown	2010-06	France	N/A	CF166110_FRA10
HG934164	CF287026_FRA10	N/A	2010	Human	2010	France	N/A	CF287026_FRA10
HG934179	STU537622_DEU07	N/A	2007	Human	2007	Germany	N/A	STU537622_DEU07
HG934194	STU565890_DEU03	N/A	2003	Human	2003	Germany	N/A	STU565890_DEU03
HG934198	STU499202_DEU04	N/A	2004	Human	2004	Germany	N/A	STU499202_DEU04
FN598742	LYO06972_FRA04	N/A	2004-04-02	Human	2004-04-02	France	N/A	LYO06972_FRA04
FN665314	LYO05158_FRA05	N/A	2005	Unknown	2005	France	Enterovirus 71	LYO05158_FRA05
FN665320	CF341034_FRA06	N/A	2006	Unknown	2006	France	Enterovirus 71	CF341034_FRA06
FN598748	CAE739_FRA06	N/A	2006	Human	2006	France	N/A	CAE739_FRA06
FN665329	NAN405_FRA06	N/A	2006	Unknown	2006	France	Enterovirus 71	NAN405_FRA06
FN665364	STU545774_GER07	N/A	2007	Unknown	2007	Germany	Enterovirus 71	STU545774_GER07
FN598775	NAN256_FRA08	N/A	2008-02-02	Human	2008-02-02	France	N/A	NAN256_FRA08
FN649263	STU543078_GER08	N/A	2008	Human	2008	Germany	N/A	STU543078_GER08
FN649264	STU546711_GER08	N/A	2008	Human	2008	Germany	N/A	STU546711_GER08
HG934257	STU41_DEU10	N/A	2010	Human	2010	Germany	N/A	STU41_DEU10
HE573012	CF172048_FRA10	N/A	2010-06	Unknown	2010-06	France	N/A	CF172048_FRA10
HG934269	CF340072_FRA10	N/A	2010	Human	2010	France	N/A	CF340072_FRA10
HG934277	AMI198145_FRA13	N/A	2013	Human	2013	France	N/A	AMI198145_FRA13
HG934280	CF150006_FRA13	N/A	2013	Human	2013	France	N/A	CF150006_FRA13
HG934290	CF275047_FRA13	N/A	2013	Human	2013	France	N/A	CF275047_FRA13
HM002486	BJ110	N/A	2008-05-30	Human	2008-05-30	China	N/A	BJ110
HM002487	BJ303	N/A	2008-07-31	Human	2008-07-31	China	N/A	BJ303
HM037796	GD08-EV71-166	N/A	2008	Human	2008	China	N/A	GD08-EV71-166
HM064456	Fuyang573	N/A	2008-11-05	Human	2008-11-05	China	C4	Fuyang573
HM212441	TS011/SD/CHN/2003	N/A	2003	Human	2003	China	N/A	TS011/SD/CHN/2003
HM212451	08-8/HeN/CHN/2008	N/A	2008	Human	2008	China	N/A	08-8/HeN/CHN/2008
HM212452	08-2/JL/CHN/2008	N/A	2008	Human	2008	China	N/A	08-2/JL/CHN/2008
HM212455	FY08-7/AH/CHN/2008	N/A	2008	Human	2008	China	N/A	FY08-7/AH/CHN/2008
HM358820	EV0879/Bintulu/08	N/A	2008-08	Human	2008-08	Malaysia	EV71	EV0879/Bintulu/08
HM855953	04-ZJ-CHN-Z-10	N/A	2010-04-16	Human	2010-04-16	China	N/A	04-ZJ-CHN-Z-10
HQ283506	TW-2179-00	N/A	2000-05	Human	2000-05	Taiwan	B4	TW-2179-00
HQ283507	TW-2188-00	N/A	2000-05	Human	2000-05	Taiwan	B4	TW-2188-00
HQ283510	TW-2242-00	N/A	2000-05	Human	2000-05	Taiwan	B4	TW-2242-00
HQ283525	TW-2784-00	N/A	2000-06	Human	2000-06	Taiwan	B4	TW-2784-00
HQ283533	TW-3594-00	N/A	2000-07	Human	2000-07	Taiwan	B4	TW-3594-00
HQ283535	TW-3857-00	N/A	2000-08	Human	2000-08	Taiwan	B4	TW-3857-00
HQ283536	TW-3882-00	N/A	2000-08	Human	2000-08	Taiwan	B4	TW-3882-00
HQ283567	TW-1652-01	N/A	2001-05	Human	2001-05	Taiwan	B4	TW-1652-01
HQ283643	TW-3909-01	N/A	2001-07	Human	2001-07	Taiwan	B4	TW-3909-01
HQ283653	TW-4173-01	N/A	2001-08	Human	2001-08	Taiwan	B4	TW-4173-01
HQ283713	TW-1127-02	N/A	2002-03	Human	2002-03	Taiwan	B4	TW-1127-02
HQ283763	TW-6367-02	N/A	2002-12	Human	2002-12	Taiwan	B4	TW-6367-02
HQ283796	TW-1859-98	N/A	1998-05	Human	1998-05	Taiwan	C2	TW-1859-98
HQ283853	TW-3074-98	N/A	1998-06	Human	1998-06	Taiwan	C2	TW-3074-98
HQ285094	2805/Sin/2006	N/A	2006	Human	2006	Singapore	EV71	2805/Sin/2006
HQ423143	KM186/09	N/A	2009-05	Human	2009-05	China	N/A	KM186/09
HQ647167	EV054_07	N/A	2007-07	Human	2007-07	Canada	N/A	EV054_07
HQ647169	EV090_07	N/A	2007-08	Human	2007-08	Canada	N/A	EV090_07
HQ647178	EV082_07	N/A	2007-08	Human	2007-08	Canada	N/A	EV082_07
HQ668186	501/SD/CHN/2010	N/A	2010	Human	2010	China	C4	501/SD/CHN/2010
HQ668192	484/SD/CHN/2010	N/A	2010	Human	2010	China	C4	484/SD/CHN/2010
HQ668220	611/SD/CHN/2010	N/A	2010	Human	2010	China	C4	611/SD/CHN/2010
HQ668222	803/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	803/CQ/CHN/2010
HQ668240	724/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	724/CQ/CHN/2010
HQ668242	371/SD/CHN/2010	N/A	2010	Human	2010	China	C4	371/SD/CHN/2010
HQ668243	701/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	701/CQ/CHN/2010
HQ668252	157/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	157/CQ/CHN/2010
HQ668259	686/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	686/CQ/CHN/2010
HQ668294	784/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	784/CQ/CHN/2010
HQ668297	835/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	835/CQ/CHN/2010
HQ668304	540/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	540/CQ/CHN/2010
HQ668313	671/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	671/CQ/CHN/2010
HQ668333	698/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	698/CQ/CHN/2010
HQ668353	620/SD/CHN/2010	N/A	2010	Human	2010	China	C4	620/SD/CHN/2010
HQ668358	704/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	704/CQ/CHN/2010
HQ668368	333/SD/CHN/2010	N/A	2010	Human	2010	China	C4	333/SD/CHN/2010
HQ668385	392/SD/CHN/2010	N/A	2010	Human	2010	China	C4	392/SD/CHN/2010
HQ668390	594/SD/CHN/2010	N/A	2010	Human	2010	China	C4	594/SD/CHN/2010
HQ668397	367/SD/CHN/2010	N/A	2010	Human	2010	China	C4	367/SD/CHN/2010
HQ668407	631/SD/CHN/2010	N/A	2010	Human	2010	China	C4	631/SD/CHN/2010
HQ668430	1235/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1235/HN/CHN/2010
HQ668441	386/SD/CHN/2010	N/A	2010	Human	2010	China	C4	386/SD/CHN/2010
HQ668446	458/SD/CHN/2010	N/A	2010	Human	2010	China	C4	458/SD/CHN/2010
HQ668448	1218/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1218/HN/CHN/2010
HQ668453	1231/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1231/HN/CHN/2010
HQ668455	1279/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1279/HN/CHN/2010
HQ676185	HR01/ns/L/05	N/A	2005	Human	2005	Croatia	N/A	HR01/ns/L/05
HQ676191	JP04/Ac/A/01	N/A	2001	Human	2001	Japan	N/A	JP04/Ac/A/01
HQ676237	MY19/Sw/A/06	N/A	2006	Human	2006	Malaysia	N/A	MY19/Sw/A/06
HQ676241	MY23/Sw/A/06	N/A	2006	Human	2006	Malaysia	N/A	MY23/Sw/A/06
HQ676247	MY29/Sw/A/06	N/A	2006	Human	2006	Malaysia	N/A	MY29/Sw/A/06
HQ676298	FI03/ns/00/W	N/A	2000	Human	2000	Finland	N/A	FI03/ns/00/W
HQ676310	FI16/Tk/02/W	N/A	2002	Human	2002	Finland	N/A	FI16/Tk/02/W
HQ676336	JP16/Ac/09/W	N/A	2009	Human	2009	Japan	N/A	JP16/Ac/09/W
HQ676352	JP32/Sd/10/W	N/A	2010	Human	2010	Japan	N/A	JP32/Sd/10/W
HQ676368	JP48/Sm/07/L	N/A	2007	Human	2007	Japan	N/A	JP48/Sm/07/L
HQ676404	MY35/Sa/06/A	N/A	2006	Human	2006	Malaysia	N/A	MY35/Sa/06/A
HQ676406	MY38/Sa/06/A	N/A	2006	Human	2006	Malaysia	N/A	MY38/Sa/06/A
HQ676415	MY47/Sa/08/A	N/A	2008	Human	2008	Malaysia	N/A	MY47/Sa/08/A
HQ676416	MY48/Sa/08/A	N/A	2008	Human	2008	Malaysia	N/A	MY48/Sa/08/A
HQ676449	MY81/Sa/03/A	N/A	2003	Human	2003	Malaysia	N/A	MY81/Sa/03/A
HQ676453	MY85/Sa/03/A	N/A	2003	Human	2003	Malaysia	N/A	MY85/Sa/03/A
HQ676456	MY88/Sa/03/W	N/A	2003	Human	2003	Malaysia	N/A	MY88/Sa/03/W
HQ850973	003/XM/2010	N/A	2010	Human	2010	China	N/A	003/XM/2010
HQ882182	FY0805	N/A	2008-05-12	Human	2008-05-12	China	C4	FY0805
HQ891925	Shanghai 36-2009	N/A	2009	Human	2009	China	N/A	Shanghai36-2009
HQ891928	Shanghai 117-2009	N/A	2009	Human	2009	China	N/A	Shanghai117-2009
HW823787	UNKNOWN-HW823787	N/A	N/A	Unknown	N/a	N/A	N/A	UNKNOWN-HW823787
HZ411062	UNKNOWN-HZ411062	N/A	N/A	Unknown	N/a	N/A	N/A	UNKNOWN-HZ411062
HZ411063	UNKNOWN-HZ411063	N/A	N/A	Unknown	N/a	N/A	N/A	UNKNOWN-HZ411063
JB995131	UNKNOWN-JB995131	N/A	N/A	Unknown	N/a	N/A	N/A	UNKNOWN-JB995131
JF420551	02205	N/A	2006	Human	2006	China	B4	02205
JF420578	H3	N/A	2008	Human	2008	China	C4	H3
JF519700	394/GD/China/2009	N/A	2009-07-01	Human	2009-07-01	China	N/A	394/GD/China/2009
JF519704	067/GD/China/2009	N/A	2009-03-31	Human	2009-03-31	China	N/A	067/GD/China/2009
JF519706	061/GD/China/2009	N/A	2009-03-31	Human	2009-03-31	China	N/A	061/GD/China/2009
JF519711	30/GD/China/2010	N/A	2010	Human	2010	China	N/A	30/GD/China/2010
JF519719	997/GD/China/2010	N/A	2010	Human	2010	China	N/A	997/GD/China/2010
KC556892	38-ZZ-HN-CHN-2010	N/A	2010	Human	2010	China	C4a	38-ZZ-HN-CHN-2010
JF820316	BJ01	N/A	2010-02	Human	2010-02	China	C4	BJ01
JF830007	EV71/Ningbo.CHN/065/2010	N/A	2010-06	Human	2010-06	China	N/A	EV71/Ningbo.CHN/065/2010
JF894382	MP9-2	N/A	2011-03-05	Human	2011-03-05	China	N/A	MP9-2
JF918570	SHAPHC532F/SH/CHN/10	N/A	2010-06-01	Human	2010-06-01	China	C4	SHAPHC532F/SH/CHN/10
JN020147	Luoyang/2011	N/A	2011-04	Human	2011-04	China	N/A	Luoyang/2011
JN052925	Nanyang/2011-China	N/A	2011-04	Human	2011-04	China	N/A	Nanyang/2011-China
JN204021	N-480	N/A	N/A	Human	N/a	India	71	N-480
JN204035	N-901A	N/A	N/A	Human	N/a	India	71	N-901A
JN251936	28/EV71/YN/CHN/2010	N/A	2010-10-15	Human	2010-10-15	China	N/A	28/EV71/YN/CHN/2010
JN255590	CAF-NMA-03-008	N/A	N/A	Human	N/a	Central African Republic	N/A	CAF-NMA-03-008
JN316080	PM-17181-00	N/A	2000-10-25	Human	2000-10-25	Malaysia	N/A	PM-17181-00
JN316089	PM-11977-99	N/A	1999-06-26	Human	1999-06-26	Malaysia	N/A	PM-11977-99
JN316091	PM-1657636-06	N/A	2006-10-06	Human	2006-10-06	Malaysia	N/A	PM-1657636-06
JN316109	PM-13899-97	N/A	1997-09-30	Human	1997-09-30	Malaysia	N/A	PM-13899-97
JN408336	2-YN-CHN-2009	N/A	2009-05	Human	2009-05	China	N/A	2-YN-CHN-2009
JN408344	11-YN-CHN-2009	N/A	2009-06	Human	2009-06	China	N/A	11-YN-CHN-2009
JN544418	4643-TW98	N/A	1998-04-27	Human	1998-04-27	China	C2	4643-TW98
JN579719	GD08EV298	N/A	2008	Human	2008	China	N/A	GD08EV298
JN579721	GD08EV268	N/A	2008	Human	2008	China	N/A	GD08EV268
JN579723	GD08EV216	N/A	2008	Human	2008	China	N/A	GD08EV216
JN579726	GD08EV183	N/A	2008	Human	2008	China	N/A	GD08EV183
JN579727	GD08EV170	N/A	2008	Human	2008	China	N/A	GD08EV170
JN579741	GD09EV524	N/A	2009	Human	2009	China	N/A	GD09EV524
JN579749	GD09EV475	N/A	2009	Human	2009	China	N/A	GD09EV475
JN579752	GD09EV472	N/A	2009	Human	2009	China	N/A	GD09EV472
JN579755	GD09EV470	N/A	2009	Human	2009	China	N/A	GD09EV470
JN579756	GD09EV466	N/A	2009	Human	2009	China	N/A	GD09EV466
JN579768	GD09EV420	N/A	2009	Human	2009	China	N/A	GD09EV420
JN579780	GD09EV372	N/A	2009	Human	2009	China	N/A	GD09EV372
JN579803	GD09EV305	N/A	2009	Human	2009	China	N/A	GD09EV305
JN579806	GD09EV294	N/A	2009	Human	2009	China	N/A	GD09EV294
JN579818	GD09EV255	N/A	2009	Human	2009	China	N/A	GD09EV255
JN579824	GD09EV247	N/A	2009	Human	2009	China	N/A	GD09EV247
JN579825	GD09EV246	N/A	2009	Human	2009	China	N/A	GD09EV246
JN579827	GD09EV241	N/A	2009	Human	2009	China	N/A	GD09EV241
JN579836	GD09EV147	N/A	2009	Human	2009	China	N/A	GD09EV147
JN579838	GD09EV137	N/A	2009	Human	2009	China	N/A	GD09EV137
JN579847	GD09EV059	N/A	2009	Human	2009	China	N/A	GD09EV059
JN579849	GD09EV053	N/A	2009	Human	2009	China	N/A	GD09EV053
JN579851	GD09EV039	N/A	2009	Human	2009	China	N/A	GD09EV039
JN579855	GD09EV034	N/A	2009	Human	2009	China	N/A	GD09EV034
JN579857	GD09EV030	N/A	2009	Human	2009	China	N/A	GD09EV030
JN579860	GD09EV027	N/A	2009	Human	2009	China	N/A	GD09EV027
JN579868	GD09EV579	N/A	2009	Human	2009	China	N/A	GD09EV579
