accession	name	segment	date	host	country	abbreviation	virus	strain
DQ452074	804/NO/03		2003-XX-XX	Unknown	2003	Norway		804/NO/03
EF063152	E2005125-TW		20XX-XX-XX	Unknown	N/a	Taiwan		E2005125-TW
EU414331	LR-CH-06		20XX-XX-XX	Unknown	N/a	Switzerland		LR-CH-06
EU753398	523-07T/SD/CHN/07		2007-05-23	Human	2007-05-23	China		523-07T/SD/CHN/07
EU753407	TC03F/SD/CHN/07		2007-05-20	Human	2007-05-20	China		TC03F/SD/CHN/07
FJ172159	NUH0075/SIN/08		2008-05-30	Human	2008-05-30	Singapore	EV71	NUH0075/SIN/08
FJ357376	S0318-TW01		2001-XX-XX	Human	2001	Taiwan		S0318-TW01
FJ357382	238-TW86		1986-XX-XX	Human	1986	Taiwan		238-TW86
FJ357383	252-TW86		1986-XX-XX	Human	1986	Taiwan		252-TW86
FJ606448	BJ08-Z011-4		2008-07-XX	Human	2008-07	China		BJ08-Z011-4
GQ231926	TW/1956/05		20XX-XX-XX	Human	N/a	Taiwan		TW/1956/05
GQ231929	TW/2728/04		20XX-XX-XX	Human	N/a	Taiwan		TW/2728/04
GQ231930	TW/2815/04		20XX-XX-XX	Human	N/a	Taiwan		TW/2815/04
GQ231931	TW/2824/04		20XX-XX-XX	Human	N/a	Taiwan		TW/2824/04
GQ892830	GX/LZ 08-04/08/CHN		2008-04-XX	Human	2008-04	China		GX/LZ08-04/08/CHN
GU198370	C2/FY08-C30		2008-05-XX	Human	2008-05	China		C2/FY08-C30
HM002489	BJ398		2009-05-05	Human	2009-05-05	China		BJ398
HM053670	BJ393		2009-04-30	Human	2009-04-30	China		BJ393
HQ407557	LN009		2010-XX-XX	Human	2010	China		LN009
HQ647175	EV053_07		2007-07-XX	Human	2007-07	Canada		EV053_07
JN256059	G288-927F/HeN/CHN/2009		20XX-XX-XX	Human	N/a	China	C4a	G288-927F/HeN/CHN/2009
JN544419	MP4		2004-01-01	Mouse	2004-01-01	China	C2	MP4
JX111893	GD-DG2011-9		2011-06-23	Human	2011-06-23	China	C4	GD-DG2011-9
JX244183	SDLY11		2009-XX-XX	Human	2009	China		SDLY11
KT354867	N1745-TW08/VP1-E145Q		2011-07-01	Human	2011-07-01	Taiwan		N1745-TW08/VP1-E145Q
KT354872	N7008-TW99/VP1-E98K+Q145E		2011-07-01	Human	2011-07-01	Taiwan		N7008-TW99/VP1-E98K+Q145E
KU936120	SHAPHC5218/SH/CHN/14		2014-03-10	Human	2014-03-10	China	C4a	SHAPHC5218/SH/CHN/14
KU936124	SHAPHC5287/SH/CHN/14		2014-04-01	Human	2014-04-01	China	C4a	SHAPHC5287/SH/CHN/14
KU936125	SHAPHC5307/SH/CHN/14		2014-04-11	Human	2014-04-11	China	C4a	SHAPHC5307/SH/CHN/14
KU936131	SHAPHC5432/SH/CHN/14		2014-05-31	Human	2014-05-31	China	C4a	SHAPHC5432/SH/CHN/14
KX197464	SEP024		2012-07-07	Human	2012-07-07	Cambodia	C4a	SEP024
KX372313	SiICRC16/TH/2011		2011-06-17	Human	2011-06-17	Thailand		SiICRC16/TH/2011
KX372316	SiICRC03/TH/2012		2012-10-02	Human	2012-10-02	Thailand		SiICRC03/TH/2012
KY612315	2015g03		2015-01-XX	Unknown	2015-01	China		2015g03
LC321993	31170202		2017-XX-XX	Human	2017	Japan		31170202
LC375764	SI/Isehara/Japan/99		1999-XX-XX	Human	1999	Japan		SI/Isehara/Japan/99
LC375765	C7/Osaka/Japan/97		1997-XX-XX	Human	1997	Japan		C7/Osaka/Japan/97
LC626877	N384-Sendai-2012		2012-XX-XX	Human	2012	Japan		N384-Sendai-2012
LC626890	56-Yamagata-2007		2007-XX-XX	Human	2007	Japan		56-Yamagata-2007
LC626901	N377-Sendai-2012		2012-XX-XX	Human	2012	Japan		N377-Sendai-2012
LC627066	15NHP105		2015-XX-XX	Human	2015	Viet Nam		15NHP105
LC627078	16NHP373		2016-XX-XX	Human	2016	Viet Nam		16NHP373
LC627084	16NHP462		2016-XX-XX	Human	2016	Viet Nam		16NHP462
LR027527	01	TOU148153	FRA16		N/a	Unknown		01
LR027530	14	VSV286030	FRA16		N/a	Unknown		14
LR027544	CF097017	FRA03	20XX-XX-XX		Unknown			CF097017
LR027545	GRE29	FRA07	20XX-XX-XX		Unknown			GRE29
LT719066	CAE-CEN-BIY-146-08		2008-XX-XX	Human	2008	Cameroon		CAE-CEN-BIY-146-08
LT934386	R6_TUN		20XX-XX-XX	Unknown	N/a			R6_TUN
MF431793	EV71/SZ17/CHN/2013		2013-07-XX	Human	2013-07	China	C4	EV71/SZ17/CHN/2013
MF662680	R186/YN/CHN/2009		2009-08-14	Human	2009-08-14	China		R186/YN/CHN/2009
MF662692	KW24/YN/CHN/2012		2012-06-17	Human	2012-06-17	China		KW24/YN/CHN/2012
MF662695	RW40/YN/CHN/2012		2012-07-15	Human	2012-07-15	China		RW40/YN/CHN/2012
MF662696	RW46/YN/CHN/2012		2012-07-26	Human	2012-07-26	China		RW46/YN/CHN/2012
MG013988	15-355		2015-XX-XX	Human	2015	Senegal		15-355
MG367599	DK16-05		2016-06-XX	Human	2016-06	Denmark	C	DK16-05
U22522	MS/7423/87		20XX-XX-XX	Human	N/a			MS/7423/87
MG672481	MRT-14-250		20XX-XX-XX	Unknown	N/a	Mauritania	A71	MRT-14-250
MG756698	TW-01641-2005		2005-XX-XX	Human	2005	Taiwan		TW-01641-2005
MG756708	TW-70389-2008		2008-XX-XX	Human	2008	Taiwan		TW-70389-2008
MG756719	TW-96050-2010		2010-XX-XX	Human	2010	Taiwan		TW-96050-2010
MG756730	TW-01744-2012		2012-XX-XX	Human	2012	Taiwan		TW-01744-2012
MG756744	TW-50490-2012		2012-XX-XX	Human	2012	Taiwan		TW-50490-2012
MG756749	TW-50995-2012		2012-XX-XX	Human	2012	Taiwan		TW-50995-2012
MH484066	4N		2016-XX-XX	Human	2016	Spain		4N
MH511194	100-p36-T3		2017-08-10	Unknown	2017-08-10	China	C4	100-p36-T3
MH511195	101-p0		2017-08-10	Unknown	2017-08-10	China	C4	101-p0
MH511196	101-p12		2017-08-10	Unknown	2017-08-10	China	C4	101-p12
MH511200	101-p31-T1		2017-08-10	Unknown	2017-08-10	China	C4	101-p31-T1
MH716260	B5-3		2013-09-26	Human	2013-09-26	Viet Nam	B5	B5-3
MH716263	B5-6		2013-11-27	Human	2013-11-27	Viet Nam	B5	B5-6
MH716268	B5-11		2014-10-24	Human	2014-10-24	Viet Nam	B5	B5-11
MH716269	B5-12		2014-10-07	Human	2014-10-07	Viet Nam	B5	B5-12
MH716273	B5-16		2014-10-30	Human	2014-10-30	Viet Nam	B5	B5-16
MH716292	B5-35		2013-11-13	Human	2013-11-13	Viet Nam	B5	B5-35
MH716295	B5-38		2013-11-21	Human	2013-11-21	Viet Nam	B5	B5-38
MH716300	B5-43		2015-01-17	Human	2015-01-17	Viet Nam	B5	B5-43
MH716301	B5-44		2013-12-11	Human	2013-12-11	Viet Nam	B5	B5-44
MH716309	B5-52		2013-11-28	Human	2013-11-28	Viet Nam	B5	B5-52
MH716314	B5-57		2014-04-01	Human	2014-04-01	Viet Nam	B5	B5-57
MH716315	B5-58		2014-06-11	Human	2014-06-11	Viet Nam	B5	B5-58
MH716316	B5-59		2014-04-15	Human	2014-04-15	Viet Nam	B5	B5-59
MH716320	B5-63		2013-09-04	Human	2013-09-04	Viet Nam	B5	B5-63
MH716326	B5-69		2014-09-26	Human	2014-09-26	Viet Nam	B5	B5-69
MH716332	B5-75		2013-11-14	Human	2013-11-14	Viet Nam	B5	B5-75
MH716335	B5-78		2014-09-11	Human	2014-09-11	Viet Nam	B5	B5-78
MH716345	B5-88		2013-09-18	Human	2013-09-18	Viet Nam	B5	B5-88
MH716346	B5-89		2013-11-25	Human	2013-11-25	Viet Nam	B5	B5-89
MH716348	B5-91		2014-10-02	Human	2014-10-02	Viet Nam	B5	B5-91
MH716351	B5-94		2015-03-21	Human	2015-03-21	Viet Nam	B5	B5-94
MH716352	B5-95		2014-08-21	Human	2014-08-21	Viet Nam	B5	B5-95
MH716363	B5-106		2014-04-17	Human	2014-04-17	Viet Nam	B5	B5-106
MH716367	B5-110		2013-10-16	Human	2013-10-16	Viet Nam	B5	B5-110
MH716376	B5-119		2014-11-27	Human	2014-11-27	Viet Nam	B5	B5-119
MH716387	B5-130		2013-10-25	Human	2013-10-25	Viet Nam	B5	B5-130
MK791153	K17245		2018-08-27	Human	2018-08-27	China		K17245
MN966517	413-C1/YN/CHN/2016		2016-07-26	Human	2016-07-26	China	A71	413-C1/YN/CHN/2016
MT081375	USA/2018-23298		2018-XX-XX	Human	2018	USA		USA/2018-23298
MT241235	TLLbeta		2011-XX-XX	Unknown	2011	Singapore		TLLbeta
MT360985	F6		2008-XX-XX	Unknown	2008	Taiwan	B5	F6
MT708799	2019-EV-A71-R398		2019-XX-XX	Human	2019	China		2019-EV-A71-R398
MT708803	2019-EV-A71-R798		2019-XX-XX	Human	2019	China		2019-EV-A71-R798
AB747375	02363-Thai-02		20XX-XX-XX	Unknown	N/a	Thailand		02363-Thai-02
DQ341354	3799-SIN-98		20XX-XX-XX	Unknown	N/a	Singapore		3799-SIN-98
DQ341363	S19841-SAR-03		20XX-XX-XX	Unknown	N/a	Malaysia		S19841-SAR-03
FJ600325	EV71/Jiangsu.P.R.C/07.08/10		2008-07-XX	Unknown	2008-07	China	C4	EV71/Jiangsu.P.R.C/07.08/10
JN864019	EV71/Ningbo.CHN/002/2010		2010-XX-XX	Human	2010	China	C4	EV71/Ningbo.CHN/002/2010
JX678874	CQ03-1/CQ/CHN/2003		2003-XX-XX	Human	2003	China	C4	CQ03-1/CQ/CHN/2003
KC436266	V05-2243055		2005-09-XX	Human	2005-09	Hong Kong		V05-2243055
KC436268	V07-2231013		2007-05-XX	Human	2007-05	Hong Kong		V07-2231013
KC436269	V08-2221581		2008-04-XX	Human	2008-04	Hong Kong		V08-2221581
KC570453	SH12-276		2012-06-03	Human	2012-06-03	China	C4	SH12-276
KF142412	HNCZ/201208		2013-05-04	Human	2013-05-04	China		HNCZ/201208
KF154354	B5-03172-TW-2011		2011-11-05	Human	2011-11-05	Taiwan	B5	B5-03172-TW-2011
KF974782	M707-TW08		2008-XX-XX	Human	2008	Taiwan		M707-TW08
KF974794	M202-TW12		2012-XX-XX	Human	2012	Taiwan		M202-TW12
KJ686128	EV71/Homo sapiens/VNM/152/2012		2012-05-28	Human	2012-05-28	Viet Nam		EV71/Homosapiens/VNM/152/2012
KJ686131	EV71/Homo sapiens/VNM/123/2012		2012-04-18	Human	2012-04-18	Viet Nam		EV71/Homosapiens/VNM/123/2012
KJ686133	EV71/Homo sapiens/VNM/200/2011		2011-10-14	Human	2011-10-14	Viet Nam		EV71/Homosapiens/VNM/200/2011
KJ686145	EV71/Homo sapiens/VNM/197/2011		2011-10-10	Human	2011-10-10	Viet Nam		EV71/Homosapiens/VNM/197/2011
KJ686155	EV71/Homo sapiens/VNM/143/2012		2012-05-11	Human	2012-05-11	Viet Nam		EV71/Homosapiens/VNM/143/2012
KJ686157	EV71/Homo sapiens/VNM/161/2012		2012-07-20	Human	2012-07-20	Viet Nam		EV71/Homosapiens/VNM/161/2012
KJ686161	EV71/Homo sapiens/VNM/23/2011		2011-10-24	Human	2011-10-24	Viet Nam		EV71/Homosapiens/VNM/23/2011
KJ686168	EV71/Homo sapiens/VNM/116/2012		2012-04-11	Human	2012-04-11	Viet Nam		EV71/Homosapiens/VNM/116/2012
KJ686170	EV71/Homo sapiens/VNM/93/2012		2012-03-17	Human	2012-03-17	Viet Nam		EV71/Homosapiens/VNM/93/2012
KJ686175	EV71/Homo sapiens/VNM/245/2011		2011-12-13	Human	2011-12-13	Viet Nam		EV71/Homosapiens/VNM/245/2011
KJ686176	EV71/Homo sapiens/VNM/168/2012		2012-09-20	Human	2012-09-20	Viet Nam		EV71/Homosapiens/VNM/168/2012
KJ686179	EV71/Homo sapiens/VNM/15/2011		2011-10-16	Human	2011-10-16	Viet Nam		EV71/Homosapiens/VNM/15/2011
KJ686214	EV71/Homo sapiens/VNM/108/2012		2012-03-29	Human	2012-03-29	Viet Nam		EV71/Homosapiens/VNM/108/2012
KJ686223	EV71/Homo sapiens/VNM/229/2011		2011-11-30	Human	2011-11-30	Viet Nam		EV71/Homosapiens/VNM/229/2011
KJ686234	EV71/Homo sapiens/VNM/176/2012		2012-11-03	Human	2012-11-03	Viet Nam		EV71/Homosapiens/VNM/176/2012
KJ686240	EV71/Homo sapiens/VNM/44/2012		2012-01-01	Human	2012-01-01	Viet Nam		EV71/Homosapiens/VNM/44/2012
KJ686242	EV71/Homo sapiens/VNM/11/2011		2011-10-11	Human	2011-10-11	Viet Nam		EV71/Homosapiens/VNM/11/2011
KJ686245	EV71/Homo sapiens/VNM/90/2012		2012-03-09	Human	2012-03-09	Viet Nam		EV71/Homosapiens/VNM/90/2012
KJ686251	EV71/Homo sapiens/VNM/52/2012		2012-01-22	Human	2012-01-22	Viet Nam		EV71/Homosapiens/VNM/52/2012
KJ686255	EV71/Homo sapiens/VNM/250/2011		2011-12-23	Human	2011-12-23	Viet Nam		EV71/Homosapiens/VNM/250/2011
KJ686256	EV71/Homo sapiens/VNM/77/2012		2012-02-28	Human	2012-02-28	Viet Nam		EV71/Homosapiens/VNM/77/2012
KJ686268	EV71/Homo sapiens/VNM/78/2012		2012-02-29	Human	2012-02-29	Viet Nam		EV71/Homosapiens/VNM/78/2012
KJ686275	EV71/Homo sapiens/VNM/16/2011		2011-10-16	Human	2011-10-16	Viet Nam		EV71/Homosapiens/VNM/16/2011
KJ686281	EV71/Homo sapiens/VNM/72/2012		2012-02-24	Human	2012-02-24	Viet Nam		EV71/Homosapiens/VNM/72/2012
KJ686299	EV71/Homo sapiens/VNM/1/2011		2011-08-28	Human	2011-08-28	Viet Nam		EV71/Homosapiens/VNM/1/2011
KJ746493	306A		2010-XX-XX	Human	2010	China		306A
KJ784496	HuzhouE696/2012/CHN		2012-04-20	Unknown	2012-04-20	China		HuzhouE696/2012/CHN
KP198624	Henan-ZMD/CHN/2012		2012-04-01	Human	2012-04-01	China		Henan-ZMD/CHN/2012
KP289421	EV71/P156/2013/China		2013-XX-XX	Human	2013	China		EV71/P156/2013/China
KP308416	EV71/Homo sapiens/KHM/354/2012		2012-07-14	Human	2012-07-14	Cambodia		EV71/Homosapiens/KHM/354/2012
KP308421	EV71/Homo sapiens/KHM/299/2012		2012-08-25	Human	2012-08-25	Cambodia		EV71/Homosapiens/KHM/299/2012
KP308428	EV71/Homo sapiens/KHM/287/2012		2012-08-12	Human	2012-08-12	Cambodia		EV71/Homosapiens/KHM/287/2012
KP308431	EV71/Homo sapiens/KHM/315/2013		2013-02-06	Human	2013-02-06	Cambodia		EV71/Homosapiens/KHM/315/2013
KP308438	EV71/Homo sapiens/KHM/302/2012		2012-09-09	Human	2012-09-09	Cambodia		EV71/Homosapiens/KHM/302/2012
KP308442	EV71/Homo sapiens/KHM/368/2012		2012-07-14	Human	2012-07-14	Cambodia		EV71/Homosapiens/KHM/368/2012
KP691643	02-0-079		2013-11-11	Unknown	2013-11-11	Viet Nam		02-0-079
KP691654	02-1-008		2013-07-20	Unknown	2013-07-20	Viet Nam		02-1-008
KP691657	02-0-023		2013-08-21	Unknown	2013-08-21	Viet Nam		02-0-023
KP691664	02-0-024		2013-08-26	Unknown	2013-08-26	Viet Nam		02-0-024
KM593929	C4		2011-03-05	Human	2011-03-05	Taiwan	A71	C4
KR045299	THA_A1048		2013-02-11	Human	2013-02-11	Thailand	B5	THA_A1048
KT354871	N7008-TW99/VP1-E98K		2011-07-01	Human	2011-07-01	Taiwan		N7008-TW99/VP1-E98K
KU159437	C4-ND-152_Vietnam:VinhLong_2012-07-16		2012-07-16	Human	2012-07-16	Viet Nam	C4	C4-ND-152_Vietnam_VinhLong_2012-07-16
KU159438	C4-ND-153_Vietnam:HoChiMinh_2012-07-23		2012-07-23	Human	2012-07-23	Viet Nam	C4	C4-ND-153_Vietnam_HoChiMinh_2012-07-23
KU641504	44930/BE/DE 2015		2015-08-XX	Human	2015-08	Germany	A71	44930/BE/DE2015
KU641506	44932/BE/DE 2015		2015-08-XX	Human	2015-08	Germany	A71	44932/BE/DE2015
KU641507	44172/RP/DE 2015		2015-09-XX	Human	2015-09	Germany	A71	44172/RP/DE2015
KU936127	SHAPHC5589/SH/CHN/14		2014-09-11	Human	2014-09-11	China	C4a	SHAPHC5589/SH/CHN/14
KX372308	SI01/TH(NMA)/06		2006-07-01	Human	2006-07-01	Thailand		SI01/TH_NMA_/06
KX430818	EVA71/Homosapiens/VNM/12.2/2013		2013-XX-XX	Human	2013	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/12.2/2013
KX430819	EVA71/Homosapiens/VNM/13.1/2012		2012-XX-XX	Human	2012	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/13.1/2012
LC321990	31170101		2017-XX-XX	Human	2017	Japan		31170101
MG773124	Huainan201403		2014-XX-XX	Human	2014	China		Huainan201403
MG773126	Huainan201405		2014-XX-XX	Human	2014	China		Huainan201405
AB550334	SK-EV006-org		20XX-XX-XX	Unknown	N/a	Malaysia		SK-EV006-org
AB550335	SK-EV006-LPS1		20XX-XX-XX	Unknown	N/a	Malaysia		SK-EV006-LPS1
AB575935	480		1991-XX-XX	Unknown	1991	Netherlands		480
AB575939	365		2000-XX-XX	Unknown	2000	Netherlands		365
AF119796	TW/2086/98		20XX-XX-XX	Unknown	N/a	Taiwan		TW/2086/98
AF302996	SHZH98		20XX-XX-XX	Unknown	N/a			SHZH98
AF304458	Tainan/4643/98		20XX-XX-XX	Unknown	N/a			Tainan/4643/98
DQ341356	03-KOR-00		20XX-XX-XX	Unknown	N/a	South Korea		03-KOR-00
DQ341357	7F-AUS-6-99		20XX-XX-XX	Unknown	N/a	Australia		7F-AUS-6-99
EF373576	E2004104-TW-CDC		20XX-XX-XX	Unknown	N/a	Taiwan		E2004104-TW-CDC
EU131776	N3340-TW-02		20XX-XX-XX	Unknown	N/a			N3340-TW-02
EU703813	EV71/Fuyang.Anhui.P.R.C/17.08/2		2008-04-XX	Human	2008-04	China		EV71/Fuyang.Anhui.P.R.C/17.08/2
EU864507	EV71/Zhejiang08		2008-XX-XX	Human	2008	China		EV71/Zhejiang08
FJ158600	DTID/ZJU-62		2008-XX-XX	Unknown	2008	China		DTID/ZJU-62
FJ194965	EV71/GDSG/17/2008		2008-05-XX	Human	2008-05	China	c	EV71/GDSG/17/2008
FJ357374	N2121-TW05		2005-XX-XX	Human	2005	Taiwan		N2121-TW05
FJ360545	GZ-08-02		2008-05-XX	Human	2008-05	China		GZ-08-02
FJ606449	BJ08-Z020-1		2008-07-XX	Human	2008-07	China		BJ08-Z020-1
GQ231925	TW/1101/08		20XX-XX-XX	Human	N/a	Taiwan		TW/1101/08
GQ231932	TW/2871/04		20XX-XX-XX	Human	N/a	Taiwan		TW/2871/04
GQ231938	TW/71552/05		20XX-XX-XX	Human	N/a	Taiwan		TW/71552/05
GQ994990	Chongqing2-09-China		2009-04-XX	Human	2009-04	China		Chongqing2-09-China
GU459070	FY23-K12		2008-XX-XX	Human	2008	China	C4	FY23-K12
HM053671	BJ462		2009-08-12	Human	2009-08-12	China		BJ462
HM156065	2009-02877		2009-XX-XX	Human	2009	Taiwan	B5	2009-02877
HM245927	EV71/Henan/294/2010		2010-XX-XX	Human	2010	China		EV71/Henan/294/2010
HQ129932	BJ06-SJS06		2006-XX-XX	Human	2006	China		BJ06-SJS06
HQ424436	4044545		2010-06-05	Human	2010-06-05	Greece		4044545
HQ426649	2010FJLY008		2010-06-XX	Human	2010-06	China		2010FJLY008
HQ611148	AH08/06		2008-XX-XX	Human	2008	China	C4	AH08/06
HQ647174	EV123_07		2007-10-XX	Human	2007-10	Canada		EV123_07
HQ647177	EV073_07		2007-08-XX	Human	2007-08	Canada		EV073_07
HQ694982	JK2009		2008-05-08	Human	2008-05-08	China		JK2009
HQ712020	MP10		2010-10-09	Human	2010-10-09	China		MP10
HQ828086	NBChina01		2010-08-XX	Unknown	2010-08	China		NBChina01
JF738000	THA-EV71-002		2009-06-XX	Human	2009-06	Thailand		THA-EV71-002
JF738002	THA-EV71-044		2009-08-XX	Human	2009-08	Thailand		THA-EV71-044
JF820312	LCH01		2010-01-XX	Human	2010-01	China	C4	LCH01
JN001860	NB/2010/01		2010-05-10	Human	2010-05-10	China		NB/2010/01
JN256064	M188-1181F/HeN/CHN/2009		20XX-XX-XX	Human	N/a	China		M188-1181F/HeN/CHN/2009
JN835312	MRS/09/3663		2009-06-XX	Unknown	2009-06	France		MRS/09/3663
JQ074187	EV71/Jinan1002		2010-07-XX	Human	2010-07	China		EV71/Jinan1002
JQ074189	EV71/Jinan1005		2010-07-XX	Human	2010-07	China		EV71/Jinan1005
JQ316638	HQ09231463		2011-08-02	Human	2011-08-02	China		HQ09231463
JQ319054	BJ09/07		2009-XX-XX	Human	2009	China		BJ09/07
JX025559	LAZ60-TR		2010-04-06	Unknown	2010-04-06	Australia	C2	LAZ60-TR
JX111889	GD-DG2011-2		2011-04-19	Human	2011-04-19	China	C4	GD-DG2011-2
JX244187	SDLY153		2010-XX-XX	Human	2010	China		SDLY153
JX678877	FY17.08-6/AH/CHN/2008		2008-04-XX	Human	2008-04	China	C4	FY17.08-6/AH/CHN/2008
JX678883	SD09-14/SD/CHN/2009		2009-03-28	Human	2009-03-28	China	C4	SD09-14/SD/CHN/2009
JX678885	SH-17/SH/CHN/2002		2002-XX-XX	Human	2002	China	C4	SH-17/SH/CHN/2002
KC436265	V04-2218217		2004-05-XX	Human	2004-05	Hong Kong		V04-2218217
KF142411	HNCZ/201203		2013-05-04	Human	2013-05-04	China		HNCZ/201203
KF306100	B5-NHRIH2011043-V110703172-TW-Nov-5-11		2011-11-05	Human	2011-11-05	Taiwan	B5	B5-NHRIH2011043-V110703172-TW-Nov-5-11
KF312457	SHZH98 pro		1998-XX-XX	Human	1998	China	C4	SHZH98pro
KF444809	EV71/Queenmary/HongKong/2012		2012-XX-XX	Human	2012	China	C4	EV71/Queenmary/HongKong/2012
KF668443	H3-TY		2009-09-28	Human	2009-09-28	China	C4	H3-TY
KF974784	M245-TW08		2008-XX-XX	Human	2008	Taiwan		M245-TW08
KF974785	M668-TW08		2008-XX-XX	Human	2008	Taiwan		M668-TW08
KF974786	M1288-TW08		2008-XX-XX	Human	2008	Taiwan		M1288-TW08
KF974791	M617-TW12		2012-XX-XX	Human	2012	Taiwan		M617-TW12
KJ004556	EV71/NX10-147/2010		2010-XX-XX	Human	2010	China	C4	EV71/NX10-147/2010
KJ186974	C4a-01585-TW-2011		2011-05-21	Human	2011-05-21	Taiwan	C4a	C4a-01585-TW-2011
KJ686134	EV71/Homo sapiens/VNM/178/2012		2012-11-15	Human	2012-11-15	Viet Nam		EV71/Homosapiens/VNM/178/2012
KJ686148	EV71/Homo sapiens/VNM/54/2012		2012-01-27	Human	2012-01-27	Viet Nam		EV71/Homosapiens/VNM/54/2012
KJ686150	EV71/Homo sapiens/VNM/109/2012		2012-03-30	Human	2012-03-30	Viet Nam		EV71/Homosapiens/VNM/109/2012
KJ686154	EV71/Homo sapiens/VNM/196/2011		2011-10-07	Human	2011-10-07	Viet Nam		EV71/Homosapiens/VNM/196/2011
KJ686184	EV71/Homo sapiens/VNM/37/2011		2011-12-16	Human	2011-12-16	Viet Nam		EV71/Homosapiens/VNM/37/2011
KJ686187	EV71/Homo sapiens/VNM/199/2011		2011-10-12	Human	2011-10-12	Viet Nam		EV71/Homosapiens/VNM/199/2011
KJ686192	EV71/Homo sapiens/VNM/185/2012		2012-12-20	Human	2012-12-20	Viet Nam		EV71/Homosapiens/VNM/185/2012
KJ686210	EV71/Homo sapiens/VNM/91/2012		2012-03-13	Human	2012-03-13	Viet Nam		EV71/Homosapiens/VNM/91/2012
KJ686232	EV71/Homo sapiens/VNM/189/2011		2011-09-29	Human	2011-09-29	Viet Nam		EV71/Homosapiens/VNM/189/2011
KJ686252	EV71/Homo sapiens/VNM/170/2012		2012-10-06	Human	2012-10-06	Viet Nam		EV71/Homosapiens/VNM/170/2012
KJ686283	EV71/Homo sapiens/VNM/55/2012		2012-02-01	Human	2012-02-01	Viet Nam		EV71/Homosapiens/VNM/55/2012
KJ686284	EV71/Homo sapiens/VNM/230/2011		2011-11-30	Human	2011-11-30	Viet Nam		EV71/Homosapiens/VNM/230/2011
KJ686285	EV71/Homo sapiens/VNM/50/2012		2012-01-18	Human	2012-01-18	Viet Nam		EV71/Homosapiens/VNM/50/2012
KJ686291	EV71/Homo sapiens/VNM/45/2012		2012-01-06	Human	2012-01-06	Viet Nam		EV71/Homosapiens/VNM/45/2012
KJ686294	EV71/Homo sapiens/VNM/208/2011		2011-10-25	Human	2011-10-25	Viet Nam		EV71/Homosapiens/VNM/208/2011
KJ686296	EV71/Homo sapiens/VNM/129/2012		2012-04-22	Human	2012-04-22	Viet Nam		EV71/Homosapiens/VNM/129/2012
KM055005	Laos2011 HFMD12V		2011-05-17	Human	2011-05-17	Laos	A71	Laos2011HFMD12V
KX197456	HFM008		2012-07-12	Human	2012-07-12	Cambodia	C4a	HFM008
KX197461	SEP001		2012-06-15	Human	2012-06-15	Cambodia	C4a	SEP001
LC506515	N0722-Sendai-2007		2007-XX-XX	Human	2007	Japan		N0722-Sendai-2007
LC626873	K282-Sendai-2012		2012-XX-XX	Human	2012	Japan		K282-Sendai-2012
LC626874	1499-Yamagata-2013		2013-XX-XX	Unknown	2013	Japan		1499-Yamagata-2013
LC626882	N133-Sendai-2006		2006-XX-XX	Human	2006	Japan		N133-Sendai-2006
LC626893	2498-Yamagata-2006		2006-XX-XX	Human	2006	Japan		2498-Yamagata-2006
LC627068	15NHP009		2015-XX-XX	Human	2015	Viet Nam		15NHP009
LC627070	15NHP023		2015-XX-XX	Human	2015	Viet Nam		15NHP023
LC627087	16NHP391		2016-XX-XX	Human	2016	Viet Nam		16NHP391
LR027521	06	TOU307016	FRA16		N/a	Unknown		06
LR027546	25	AMI302001	FRA16		N/a	Unknown		25
MF662682	R262/YN/CHN/2010		2010-05-19	Human	2010-05-19	China		R262/YN/CHN/2010
MF662687	R1/YN/CHN/2011		2011-05-29	Human	2011-05-29	China		R1/YN/CHN/2011
MG367591	DK07-01		2007-02-XX	Human	2007-02	Denmark	C	DK07-01
MG367597	DK16-03		2016-04-XX	Human	2016-04	Denmark	C	DK16-03
MG756704	TW-96102-2005		2005-XX-XX	Human	2005	Taiwan		TW-96102-2005
MG756706	TW-02389-2008		2008-XX-XX	Human	2008	Taiwan		TW-02389-2008
MG756721	TW-03530-2011		2011-XX-XX	Human	2011	Taiwan		TW-03530-2011
MG756735	TW-01963-2012		2012-XX-XX	Human	2012	Taiwan		TW-01963-2012
MG756737	TW-02664-2012		2012-XX-XX	Human	2012	Taiwan		TW-02664-2012
MG756743	TW-50234-2012		2012-XX-XX	Human	2012	Taiwan		TW-50234-2012
MG756745	TW-50558-2012		2012-XX-XX	Human	2012	Taiwan		TW-50558-2012
MG756751	TW-51045-2012		2012-XX-XX	Human	2012	Taiwan		TW-51045-2012
MG875331	160-50		2016-XX-XX	Unknown	2016	China		160-50
MH373639	CMU4232/BJ/CHN/2008		2008-04-XX	Human	2008-04	China	71	CMU4232/BJ/CHN/2008
MH511186	100-p31-T1		2017-08-10	Unknown	2017-08-10	China	C4	100-p31-T1
MH511187	100-p31-T2		2017-08-10	Unknown	2017-08-10	China	C4	100-p31-T2
MH511190	100-p35-T2		2017-08-10	Unknown	2017-08-10	China	C4	100-p35-T2
MH511201	101-p31-T2		2017-08-10	Unknown	2017-08-10	China	C4	101-p31-T2
